GEO_ID,contested_project_total,mw_wind_contested,mw_solar_contested,battery storage,hydropower,pumped storage,solar,solar thermal,transmission line,wind
06001,5,210.7,151,,,,2,,,3
06023,1,230,0,,,,,,,1
06029,2,7.95,0,,,,,,,2
06033,1,57.5,0,,,,,,,1
06069,1,0,0.56,,,,1,,,
06071,2,0,550,,,,2,,,
06073,2,0,60.4,1,,,1,,,
06083,2,403.2,0,,,,,,,2
06089,1,3,0,,,,,,,1
06097,1,0,0,,,1,,,,
08067,1,0,380,,,,1,,,
08083,1,0,7.3,,,,1,,,
08101,2,0,528.7,,,,2,,,
08109,1,0,0,,,,,1,,
08113,1,0,1.2,,,,1,,,
09003,1,0,60,,,,1,,,
09005,1,90.2,0,,,,,,,1
