State Name,Technology,Geography ID,Technical Generation Potential - MWh MWh,State Abbreviation
Connecticut,distributed_wind,G09,65478202.43,CT
Connecticut,floating_pv,G09,3873620.81,CT
Connecticut,biopower,G09,185522.3770962963,CT
Connecticut,offshore_wind,G09,10074121.238893883,CT
Connecticut,hydro,G09,1176438.2110534236,CT
Connecticut,land_based_wind,G09,6866042.64,CT
Delaware,utility_pv,G10,145945085.16,DE
Delaware,csp,G10,0.0,DE
Delaware,residential_pv,G10,1687076.53,DE
Delaware,commercial_pv,G10,1831132.95,DE
Delaware,distributed_wind,G10,33947281.39,DE
Delaware,floating_pv,G10,41469.414,DE
Delaware,biopower,G10,1084025.8604888888,DE
Delaware,offshore_wind,G10,8550238.936006876,DE
Delaware,land_based_wind,G10,1605114.55,DE
New Jersey,utility_pv,G34,259576055.4,NJ
New Jersey,csp,G34,0.0,NJ
New Jersey,residential_pv,G34,12095365.6,NJ
New Jersey,commercial_pv,G34,20572981.5,NJ
New Jersey,distributed_wind,G34,96210452.92,NJ
New Jersey,floating_pv,G34,2412666.815,NJ
New Jersey,biopower,G34,458792.54533333343,NJ
New Jersey,offshore_wind,G34,313619785.5179759,NJ
New Jersey,hydro,G34,1016023.8912839618,NJ
New Jersey,land_based_wind,G34,5882256.27,NJ
Pennsylvania,utility_pv,G42,792173808.33,PA
Pennsylvania,csp,G42,0.0,PA
Pennsylvania,residential_pv,G42,19582856.41,PA
Pennsylvania,commercial_pv,G42,31875516.28,PA
Pennsylvania,distributed_wind,G42,635934034.1,PA
Pennsylvania,floating_pv,G42,586652.442,PA
Pennsylvania,biopower,G42,40699873.94892593,PA
Pennsylvania,offshore_wind,G42,15721287.173128914,PA
Pennsylvania,hydro,G42,66023392.001181245,PA
Pennsylvania,land_based_wind,G42,275002596.07,PA
Ohio,utility_pv,G39,2872126068.67,OH
Ohio,csp,G39,0.0,OH
Ohio,residential_pv,G39,23521982.14,OH
Ohio,commercial_pv,G39,31614101.94,OH
Ohio,distributed_wind,G39,714303505.11,OH
Ohio,floating_pv,G39,94956.419,OH
Ohio,biopower,G39,35906040.83104444,OH
Ohio,offshore_wind,G39,63461601.36620935,OH
Ohio,hydro,G39,6604687.273250192,OH
Ohio,land_based_wind,G39,254749954.91,OH
Alabama,utility_pv,G01,3285481948.16,AL
Alabama,residential_pv,G01,10741475.79,AL
Alabama,commercial_pv,G01,14861864.35,AL
Alabama,csp,G01,458204221.5,AL
Alabama,distributed_wind,G01,443194010.69,AL
Alabama,floating_pv,G01,943686.905,AL
Alabama,biopower,G01,47995740.5125926,AL
Alabama,offshore_wind,G01,169120597.70087042,AL
Alabama,hydro,G01,6615637.014692849,AL
Alabama,land_based_wind,G01,254791272.15,AL
Texas,utility_pv,G48,31485323440.08,TX
Texas,csp,G48,48055919677.31,TX
Texas,residential_pv,G48,61283430.81,TX
Texas,commercial_pv,G48,84611627.25,TX
Texas,distributed_wind,G48,1906316815.51,TX
Texas,floating_pv,G48,29432160.63,TX
Texas,biopower,G48,34160290.59126668,TX
Texas,offshore_wind,G48,870428002.5023737,TX
Texas,hydro,G48,10620033.35449421,TX
Texas,land_based_wind,G48,3196840376.35,TX
Maine,utility_pv,G23,1205282558.12,ME
Maine,csp,G23,0.0,ME
Maine,residential_pv,G23,2222215.31,ME
Maine,commercial_pv,G23,3992810.85,ME
Maine,distributed_wind,G23,202239951.79,ME
Maine,floating_pv,G23,22990545.32,ME
Maine,biopower,G23,38112777.71125926,ME
Maine,offshore_wind,G23,452990565.77964944,ME
Maine,hydro,G23,7697210.135093503,ME
Maine,land_based_wind,G23,200990265.39,ME
New York,utility_pv,G36,1314614373.65,NY
New York,csp,G36,0.0,NY
New York,residential_pv,G36,19793320.18,NY
New York,commercial_pv,G36,34886750.29,NY
New York,distributed_wind,G36,707478814.64,NY
New York,floating_pv,G36,16404656.31,NY
New York,biopower,G36,46960808.57754444,NY
New York,offshore_wind,G36,305845689.61701214,NY
New York,hydro,G36,53325153.77708578,NY
New York,land_based_wind,G36,252848232.66,NY
Massachusetts,utility_pv,G25,156681354.01,MA
Massachusetts,csp,G25,0.0,MA
Massachusetts,residential_pv,G25,8176395.76,MA
Massachusetts,commercial_pv,G25,19188631.79,MA
Massachusetts,distributed_wind,G25,112278160.83,MA
Massachusetts,floating_pv,G25,295104.288,MA
Massachusetts,biopower,G25,622101.7124444444,MA
Massachusetts,offshore_wind,G25,1143322874.6438422,MA
Massachusetts,hydro,G25,1211043.348713887,MA
Massachusetts,land_based_wind,G25,14451636.31,MA
Virginia,utility_pv,G51,1599983326.16,VA
Virginia,csp,G51,161794.09,VA
Virginia,residential_pv,G51,10016509.44,VA
Virginia,commercial_pv,G51,13198818.49,VA
Virginia,distributed_wind,G51,403620122.81,VA
Virginia,floating_pv,G51,27500177.77,VA
Virginia,biopower,G51,61724153.95705186,VA
Virginia,offshore_wind,G51,153554798.01070273,VA
Virginia,hydro,G51,17857599.963711035,VA
Virginia,land_based_wind,G51,141008024.86,VA
District of Columbia,utility_pv,G11,0.0,
District of Columbia,csp,G11,0.0,
District of Columbia,residential_pv,G11,156982.18,
District of Columbia,commercial_pv,G11,2206934.58,
District of Columbia,distributed_wind,G11,1215472.75,
District of Columbia,biopower,G11,1349022.8845925927,
District of Columbia,hydro,G11,752065.4985954309,
California,utility_pv,G06,4514440920.08,CA
California,csp,G06,6387960087.36,CA
California,residential_pv,G06,70314636.13,CA
California,commercial_pv,G06,150200335.06,CA
California,distributed_wind,G06,524459877.79,CA
California,floating_pv,G06,75687657.5,CA
California,geothermal,G06,108503637.6,CA
California,biopower,G06,55766980.11733335,CA
California,offshore_wind,G06,357413036.725693,CA
California,hydro,G06,92469658.29140364,CA
California,land_based_wind,G06,456328078.0,CA
Oregon,utility_pv,G41,2939641393.68,OR
Oregon,csp,G41,3363650772.68,OR
Oregon,residential_pv,G41,5836981.95,OR
Oregon,commercial_pv,G41,9689848.1,OR
Oregon,distributed_wind,G41,217002904.95,OR
Oregon,floating_pv,G41,12182760.71,OR
Oregon,geothermal,G41,12738616.800000004,OR
Oregon,biopower,G41,30348581.721674077,OR
Oregon,offshore_wind,G41,237080316.4661657,OR
Oregon,hydro,G41,71071016.7684915,OR
Oregon,land_based_wind,G41,595323820.18,OR
Washington,utility_pv,G53,1619657488.68,WA
Washington,csp,G53,1295971813.17,WA
Washington,residential_pv,G53,8147626.67,WA
Washington,commercial_pv,G53,14689297.81,WA
Washington,distributed_wind,G53,285932279.27,WA
Washington,floating_pv,G53,23554495.32,WA
Washington,geothermal,G53,596556.0,WA
Washington,biopower,G53,19697510.393703707,WA
Washington,offshore_wind,G53,163688760.32618397,WA
Washington,hydro,G53,65012368.74380131,WA
Washington,land_based_wind,G53,333833628.31,WA
Nevada,utility_pv,G32,6257146333.23,NV
Nevada,csp,G32,10172285159.66,NV
Nevada,residential_pv,G32,3542265.31,NV
Nevada,commercial_pv,G32,9471862.27,NV
Nevada,distributed_wind,G32,83821897.98,NV
Nevada,floating_pv,G32,31463560.1,NV
Nevada,geothermal,G32,54310247.99999999,NV
Nevada,hydro,G32,1789251.515189883,NV
Nevada,land_based_wind,G32,1046970622.15,NV
Florida,utility_pv,G12,3330753420.46,FL
Florida,csp,G12,1637090842.1,FL
Florida,residential_pv,G12,45803020.75,FL
Florida,commercial_pv,G12,62363611.52,FL
Florida,distributed_wind,G12,349809025.76,FL
Florida,floating_pv,G12,120071469.0,FL
Florida,biopower,G12,43096568.95422223,FL
Florida,offshore_wind,G12,1131911234.03202,FL
Florida,hydro,G12,2698741.2457026225,FL
Florida,land_based_wind,G12,64077232.18,FL
New Mexico,utility_pv,G35,11410896960.1,NM
New Mexico,csp,G35,20440593891.31,NM
New Mexico,residential_pv,G35,4991523.39,NM
New Mexico,commercial_pv,G35,4288135.88,NM
New Mexico,distributed_wind,G35,273956695.2,NM
New Mexico,floating_pv,G35,64392846.63,NM
New Mexico,geothermal,G35,1135821.6,NM
New Mexico,biopower,G35,8141018.04311111,NM
New Mexico,hydro,G35,18699499.40513364,NM
New Mexico,land_based_wind,G35,1664139715.89,NM
Oklahoma,utility_pv,G40,7935173924.01,OK
Oklahoma,csp,G40,12015003852.12,OK
Oklahoma,residential_pv,G40,10934682.88,OK
Oklahoma,commercial_pv,G40,17194006.73,OK
Oklahoma,distributed_wind,G40,799301462.88,OK
Oklahoma,floating_pv,G40,96401938.94,OK
Oklahoma,biopower,G40,12856634.732748147,OK
Oklahoma,hydro,G40,14503424.777320296,OK
Oklahoma,land_based_wind,G40,903698124.59,OK
Tennessee,utility_pv,G47,1875360355.71,TN
Tennessee,csp,G47,2830267.84,TN
Tennessee,residential_pv,G47,13043822.58,TN
Tennessee,commercial_pv,G47,15187891.24,TN
Tennessee,distributed_wind,G47,473936667.27,TN
Tennessee,floating_pv,G47,1184847.581,TN
Tennessee,biopower,G47,76106756.71111111,TN
Tennessee,hydro,G47,40033230.3211962,TN
Tennessee,land_based_wind,G47,215879988.42,TN
Arkansas,utility_pv,G05,3716171737.23,AR
Arkansas,csp,G05,2128099816.57,AR
Arkansas,residential_pv,G05,6529459.01,AR
Arkansas,commercial_pv,G05,8553613.36,AR
Arkansas,distributed_wind,G05,506134898.76,AR
Arkansas,floating_pv,G05,4380128.701,AR
Arkansas,biopower,G05,47812125.68296296,AR
Arkansas,hydro,G05,16074245.841219837,AR
Arkansas,land_based_wind,G05,352690390.88,AR
Arizona,utility_pv,G04,8314796846.68,AZ
Arizona,csp,G04,13728868577.09,AZ
Arizona,residential_pv,G04,13993686.49,AZ
Arizona,commercial_pv,G04,4547713.92,AZ
Arizona,distributed_wind,G04,261472221.92,AZ
Arizona,floating_pv,G04,21428428.47,AZ
Arizona,geothermal,G04,919800.0,AZ
Arizona,biopower,G04,5878410.953777778,AZ
Arizona,hydro,G04,12999069.318968644,AZ
Arizona,land_based_wind,G04,1049161727.47,AZ
North Carolina,utility_pv,G37,2953992054.51,NC
North Carolina,csp,G37,175497005.53,NC
North Carolina,residential_pv,G37,17992037.95,NC
North Carolina,commercial_pv,G37,23572959.21,NC
North Carolina,distributed_wind,G37,465421780.72,NC
North Carolina,floating_pv,G37,10682368.31,NC
North Carolina,biopower,G37,58303755.71259261,NC
North Carolina,offshore_wind,G37,594875731.6859856,NC
North Carolina,hydro,G37,10659649.086132333,NC
North Carolina,land_based_wind,G37,116231149.77,NC
South Carolina,utility_pv,G45,1987299800.66,SC
South Carolina,csp,G45,278277298.13,SC
South Carolina,residential_pv,G45,9724159.84,SC
South Carolina,commercial_pv,G45,9248957.95,SC
South Carolina,distributed_wind,G45,286998314.75,SC
South Carolina,floating_pv,G45,26827057.55,SC
South Carolina,biopower,G45,43060818.69600002,SC
South Carolina,offshore_wind,G45,734721188.5101762,SC
South Carolina,hydro,G45,3304546.023010363,SC
South Carolina,land_based_wind,G45,55848463.31,SC
Kentucky,utility_pv,G21,1693272836.5,KY
Kentucky,csp,G21,0.0,KY
Kentucky,residential_pv,G21,8405121.98,KY
Kentucky,commercial_pv,G21,13120305.25,KY
Kentucky,distributed_wind,G21,398164246.44,KY
Kentucky,floating_pv,G21,1845859.576,KY
Kentucky,biopower,G21,12143633.351859262,KY
Kentucky,hydro,G21,12528800.595933462,KY
Kentucky,land_based_wind,G21,257229751.54,KY
Michigan,utility_pv,G26,3595423262.07,MI
Michigan,csp,G26,0.0,MI
Michigan,residential_pv,G26,19931620.44,MI
Michigan,commercial_pv,G26,27001398.67,MI
Michigan,distributed_wind,G26,854354162.55,MI
Michigan,floating_pv,G26,6757620.622,MI
Michigan,biopower,G26,99588740.8065185,MI
Michigan,offshore_wind,G26,285147893.7396616,MI
Michigan,hydro,G26,2370413.5690092267,MI
Michigan,land_based_wind,G26,163894719.87,MI
Indiana,utility_pv,G18,3453123080.96,IN
Indiana,csp,G18,0.0,IN
Indiana,residential_pv,G18,15332584.46,IN
Indiana,commercial_pv,G18,17659833.08,IN
Indiana,distributed_wind,G18,678910342.23,IN
Indiana,floating_pv,G18,1461824.6430000002,IN
Indiana,biopower,G18,31877904.229777776,IN
Indiana,offshore_wind,G18,10919966.72914148,IN
Indiana,hydro,G18,5939920.759394395,IN
Indiana,land_based_wind,G18,240672660.71,IN
